* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:35:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
3870.000000	83.258	-152.7133
3950.000000	83.209	-154.6720
4000.000000	83.124	-155.9399
4060.000000	82.994	-157.3894
4120.000000	82.853	-158.9810
4180.000000	82.698	-160.5270
4250.000000	82.474	-162.3927
4310.000000	82.325	-164.0269
4370.000000	82.124	-165.5706
4440.000000	81.872	-167.4484
4500.000000	81.573	-168.7716
4550.000000	81.316	-169.8939
4620.000000	80.881	-170.6909
4680.000000	80.489	-170.9152
4750.000000	80.028	-170.9089
4820.000000	79.567	-170.0591
4870.000000	79.276	-169.4357
4940.000000	78.964	-168.1533
5000.000000	78.717	-166.6391
5080.000000	78.435	-164.7425
5150.000000	78.264	-163.1921
5220.000000	78.130	-161.6832
5300.000000	78.020	-159.9644
5380.000000	77.928	-158.3418
5450.000000	77.888	-156.7940
5520.000000	77.893	-155.5822
5600.000000	77.873	-154.3250
5700.000000	77.902	-152.5313
5800.000000	77.925	-151.2911
5900.000000	78.021	-151.5548
6000.000000	76.926	-152.8911
6080.000000	76.849	-143.2867
6150.000000	77.313	-140.6190
6220.000000	77.582	-139.4028
6300.000000	77.815	-137.9689
6400.000000	78.059	-136.6782
6500.000000	78.349	-135.8325
6600.000000	78.666	-135.0082
6700.000000	79.012	-134.3452
6800.000000	79.377	-134.2010
6900.000000	79.773	-134.6102
7000.000000	80.189	-135.3055
7100.000000	80.639	-136.8702
7200.000000	81.078	-139.1163
7300.000000	81.466	-141.9351
7400.000000	81.893	-145.6217
7500.000000	82.203	-149.8406
7620.000000	82.706	-155.1409
7750.000000	83.075	-161.2559
7880.000000	83.282	-167.0704
8000.000000	83.354	-171.9017
8120.000000	82.982	-176.1076
8250.000000	82.531	179.7948
8380.000000	82.006	176.4923
8500.000000	81.535	173.7222
8620.000000	81.192	171.2028
8750.000000	80.854	168.4868
8850.000000	80.668	166.4905
9000.000000	80.400	162.8622
9120.000000	80.259	159.5138
9250.000000	80.019	155.2291
9380.000000	79.705	150.2037
9500.000000	79.316	145.4731
9620.000000	78.751	140.6351
9750.000000	77.953	136.0349
9880.000000	77.100	132.5010
10000.000000	76.188	130.3958
10150.000000	75.119	129.3397
10300.000000	74.023	130.0725
10440.000000	73.134	131.1816
10600.000000	72.128	133.3185
10750.000000	71.483	137.0062
10900.000000	70.864	141.4147
11060.000000	70.519	145.2656
11200.000000	70.324	149.5900
11380.000000	70.102	153.3409
11500.000000	70.128	156.5129
11720.000000	69.975	161.3860
11800.000000	69.996	163.8514
12060.000000	70.544	170.6331
12200.000000	70.842	173.3762
12410.000000	71.781	176.1129
12500.000000	72.109	176.7056
12650.000000	72.688	177.1498
12800.000000	73.355	175.9460
13150.000000	74.487	170.7185
13200.000000	74.635	170.2309
13400.000000	74.757	167.0169
13600.000000	74.748	166.1808
13800.000000	74.133	165.7119
14000.000000	73.862	166.6617
14300.000000	73.872	166.9229
14500.000000	74.132	165.7968
14750.000000	75.140	161.5524
15000.000000	75.899	153.3110
15250.000000	76.466	141.3561
15500.000000	75.994	129.7021
15750.000000	72.070	118.5782
16000.000000	67.435	115.9769
16250.000000	61.884	114.6697
16500.000000	56.554	122.4324
16750.000000	55.030	131.6483
17000.000000	53.770	142.2035
17250.000000	54.097	150.1850
17500.000000	54.938	161.1270
17750.000000	56.344	177.7302
18000.000000	57.136	-173.5228
18250.000000	59.797	-171.9523
18500.000000	61.200	-178.9226
18750.000000	62.267	161.1940
19000.000000	61.145	149.2113
19250.000000	58.655	143.0144
19500.000000	56.589	143.3867
19750.000000	54.972	155.0986
20000.000000	56.572	154.6024
