* Measurement data measured by REW V5.31.3
* Source: EXCL: (Realtek(R) Audio), MICROPHONE, L, volume: 0,400
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 06.04.2025 11:09:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L+R àïð 6
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10750.000000 84.813 -34.5340
10900.000000 83.201 -36.4154
11060.000000 81.897 -35.7463
11200.000000 81.309 -33.1940
11380.000000 80.900 -29.3260
11500.000000 80.838 -26.7901
11720.000000 80.964 -22.5741
11800.000000 81.065 -21.3434
12060.000000 81.376 -17.4515
12200.000000 81.608 -15.4494
12410.000000 82.473 -12.2006
12500.000000 83.090 -11.4120
12650.000000 84.266 -11.5215
12800.000000 85.430 -14.4027
13150.000000 86.683 -30.2512
13200.000000 86.588 -32.6726
13400.000000 85.868 -38.8211
13600.000000 84.915 -40.7297
13800.000000 84.184 -37.5981
14000.000000 83.642 -34.0658
14300.000000 83.324 -25.6910
14500.000000 83.458 -19.1259
14750.000000 83.719 -12.2858
15000.000000 84.299 -7.0710
15250.000000 84.857 -1.6697
15500.000000 84.953 3.4837
15750.000000 82.900 10.3294
16000.000000 81.254 12.6164
16250.000000 81.437 12.3750
16500.000000 80.997 14.9043
16750.000000 80.954 16.2621
17000.000000 81.069 18.7764
17250.000000 81.404 19.0684
17500.000000 81.737 13.5813
17750.000000 80.984 5.6565
18000.000000 79.065 -0.0836
18250.000000 77.061 2.8571
18500.000000 74.637 5.5171
18750.000000 72.807 20.9514
19000.000000 72.182 33.0742
19250.000000 71.740 46.8571
19500.000000 72.005 55.8828
19750.000000 71.078 56.1780
20000.000000 72.171 68.3911
